상품명,상품가(원),배송비(원),총가격(원)=상품가+배송비,1개당 가격 = 1개 가격 + 배송비,리뷰수,평점,별점(5점만점)
블랙컨슈머 다이어트 체중조절식 도시락 렌틸콩밥엔 오징어볶음 외 28종 간편 냉동 배달 직장인 아침 점심 저염 저당 저지방 식단,3900,3900,7800,7800,1505,4.9,4.9/5
[그래밀] 부채살 소고기 밀키트 저당 지중해식 건강 도시락,8900,0,8900,8900,233,4.61,4.61/5
직장인 냉동도시락 비건 다이어트 산채 비빔밥 유기농 도시락,6000,3000,9000,9000,73,4.74,4.74/5
헤비로버 어셈블 남자 벌크업 도시락 510g 양많은 탄단지 단백질 남편 냉동 다이어트 식단,8900,5000,13900,13900,992,4.81,4.81/5
전복톳밥 & 가사리된장국 1인분 500g,10900,3000,13900,13900,583,4.84,4.84/5
"[2주 식단관리 챌린지 + 일 최대 환급 8,000원] 돈버는 식단 관리 도시락 배달 정기구독 (1일2끼)",8000,16000,24000,24000,223,4.8,4.8/5
[총 3팩 구독 체험팩] 탄단지박스 고단백 도시락＆웜프샐러드 (택 1),29100,0,29100,9700,326,4.79,4.79/5
냉동 도시락 양많은 직장인 간편 반찬 정기배송 편의점 점심 배달 단백질 인박스컵밥6종6팩,26900,3000,29900,4483.333333,78,4.78,4.78/5
냉동 도시락 양많은 반찬 정기배송 직장인 편의점 간편 점심 배달 단백질 미용식 6종 6팩,27900,3000,30900,4650,1478,4.76,4.76/5
마마킹 혼밥 양많은 냉동 도시락 단백질 식단 직장인 간편 점심 편의점 정기배송 고기고기 5종,30900,3500,34400,6180,2552,4.83,4.83/5
고기많은 냉동 도시락 양많은 직장인 정기배송 단백질 벌크업 헬스 단백식사시즌2 4종 4팩,32200,3500,35700,8050,241,4.76,4.76/5
양많은 냉동도시락 도시락 정기배송 직장인 점심 배달 단백질 고기고기 5종,34500,3500,38000,6900,9222,4.76,4.76/5
맛있는 다이어트 식단 관리 도시락 12팩 세트 직장인 간편 냉동 12종 12팩,39500,0,39500,3291.666667,5308,4.57,4.57/5
당뇨도시락 당뇨 환자 식단배달 6팩 점심구독 임당 반찬 건강식 양많은 아침식사 저녁 일주일,39900,0,39900,6650,263,4.64,4.64/5
당뇨도시락 환자 식단배달 3종 6팩 점심구독 임당 반찬배달 냉동도시락 양많은 아침 저녁,39900,0,39900,6650,122,4.8,4.8/5
밥이다른 다신밥상 도시락 10종 10팩 / 직장인점심 정기배송 식단관리,41500,0,41500,4150,263,4.73,4.73/5
저당 당뇨도시락 환자 임당식단 3종6팩 양많은 점심 아침 단백질 벌크업 탄단지 고급 노인,41800,0,41800,6966.666667,38,4.53,4.53/5
저당도시락 냉동도시락 9종 식단 단백질 탄단지 점심구독 반찬배달 정기배송 아침식사 2주,42400,0,42400,4711.111111,783,4.74,4.74/5
고기많은 냉동 도시락 양많은 직장인 정기배송 단백질 벌크업 헬스 단백식사시즌1 6종 6팩,39000,3500,42500,6500,26,4.58,4.58/5
덮밥 점심구독 5종10팩 도시락정기배송 아침 저녁식사 배달 단백질 매일 식단 반찬 한달,43400,0,43400,8680,59,4.73,4.73/5
저염식식단 양많은 6종 점심구독 저염 도시락배달 아침식사 반찬배달 매일 식단 건강식 저녁,47880,0,47880,7980,100,4.57,4.57/5
블랙컨슈머 다이어트 한식 도시락 식단 관리 세트 직장인 간편 냉동 체중조절식 12종 세트,45100,5000,50100,3758.333333,9,4.56,4.56/5
4구 단백질 식단 6종12팩 도시락정기배송 현미 반찬배달 매일 아침 점심 편의점 양많은,52900,0,52900,4408.333333,67,4.72,4.72/5
